"","V1","V2","V3","V4","V5"
"1",4,4,4,6,6
"2",1,1,1,5,2
"3",4,4,4,4,4
"4",6,4,6,6,3
"5",5,6,6,5,1
"6",2,3,2,1,2
"7",2,4,2,4,NA
"8",5,5,5,3,2
"9",5,6,4,5,5
"10",3,2,2,2,2
"11",4,6,5,2,4
"12",3,5,2,2,2
"13",1,3,5,4,4
"14",3,4,2,2,6
"15",3,1,2,1,1
"16",5,5,4,4,4
"17",1,1,1,1,1
"18",2,3,3,1,1
"19",1,1,1,5,1
"20",3,3,2,3,3
"21",2,2,2,4,2
"22",2,2,5,6,6
"23",1,2,2,1,1
"24",3,2,3,5,3
"25",4,6,5,5,1
"26",2,3,2,3,2
"27",4,5,2,4,1
"28",6,6,5,4,4
"29",5,6,6,6,1
"30",4,4,4,3,2
"31",2,2,1,1,3
"32",4,4,1,1,3
"33",3,3,2,4,2
"34",5,4,6,3,4
"35",2,3,3,2,5
"36",2,4,2,4,4
"37",1,4,1,1,1
"38",2,4,4,5,2
"39",5,5,6,4,2
"40",1,2,2,4,3
"41",3,4,4,4,3
"42",2,3,2,5,6
"43",1,2,2,3,1
"44",5,5,2,6,3
"45",4,4,4,4,3
"46",2,2,5,4,2
"47",4,5,2,2,1
"48",1,4,4,1,2
"49",6,6,4,4,1
"50",5,6,6,5,3
"51",5,4,5,3,6
"52",5,4,3,3,4
"53",3,3,4,3,5
"54",3,4,4,4,6
"55",6,6,6,5,6
"56",3,5,1,1,1
"57",2,3,2,2,1
"58",1,1,2,3,1
"59",2,5,4,2,6
"60",4,4,4,4,2
"61",6,6,6,1,6
"62",1,2,3,3,3
"63",6,6,6,6,6
"64",4,2,4,5,4
"65",4,3,2,4,2
"66",3,4,2,3,3
"67",1,4,5,5,2
"68",3,4,2,4,1
"69",5,5,5,5,1
"70",2,5,4,4,2
"71",2,3,2,2,3
"72",2,3,2,3,1
"73",4,2,2,3,1
"74",4,5,4,5,5
"75",3,3,4,3,2
"76",5,4,5,5,2
"77",2,2,2,2,2
"78",2,3,2,3,5
"79",1,1,1,2,1
"80",5,5,4,4,4
"81",1,3,3,2,2
"82",2,2,2,4,6
"83",4,5,4,4,1
"84",1,2,1,1,1
"85",3,4,4,1,3
"86",2,2,1,1,2
"87",2,2,3,5,4
"88",2,2,2,2,1
"89",3,3,2,3,1
"90",3,5,3,2,4
"91",3,3,1,2,6
"92",2,2,2,2,2
"93",3,3,3,2,4
"94",2,4,2,2,5
"95",1,1,1,1,1
"96",3,4,3,2,5
"97",1,4,2,5,1
"98",2,2,2,2,2
"99",1,2,2,1,1
"100",4,4,4,4,NA
"101",1,4,1,2,1
"102",5,5,5,4,5
"103",1,1,5,4,1
"104",5,5,5,4,1
"105",2,4,1,2,2
"106",5,3,2,2,2
"107",1,4,3,2,1
"108",2,4,2,4,2
"109",1,2,1,1,1
"110",1,1,2,2,3
"111",3,4,3,2,2
"112",4,5,2,4,2
"113",2,4,5,4,5
"114",4,4,2,3,1
"115",4,4,5,2,2
"116",2,2,2,4,2
"117",4,5,6,3,5
"118",4,5,4,2,5
"119",2,3,4,4,2
"120",4,4,4,3,4
"121",5,5,4,3,3
"122",1,1,2,1,1
"123",3,6,1,5,1
"124",4,4,4,4,1
"125",6,6,5,5,4
"126",5,5,4,6,4
"127",5,6,6,1,5
"128",5,5,5,5,5
"129",2,3,3,3,1
"130",5,6,3,2,4
"131",2,3,2,3,2
"132",5,4,6,2,4
"133",4,5,6,5,6
"134",6,6,6,6,5
"135",2,2,5,4,3
"136",1,5,4,4,3
"137",3,4,4,3,3
"138",2,2,3,2,5
"139",6,6,6,6,6
"140",2,2,1,3,1
"141",2,4,3,3,2
"142",5,3,2,4,4
"143",4,4,4,5,1
"144",1,2,1,2,1
"145",2,4,1,2,1
"146",4,4,4,4,2
"147",5,5,5,3,2
"148",4,5,6,3,4
"149",6,6,4,5,6
"150",2,4,5,5,1
"151",4,4,3,3,2
"152",3,4,5,4,5
"153",5,6,5,4,2
"154",2,5,3,3,2
"155",3,3,3,2,4
"156",4,4,2,2,2
"157",4,6,2,1,4
"158",1,1,1,4,2
"159",4,2,4,5,3
"160",2,4,4,2,5
"161",1,2,6,5,5
"162",6,4,5,4,2
"163",3,5,2,4,4
"164",4,4,4,4,2
"165",4,4,4,4,2
"166",1,1,1,1,2
"167",5,5,5,5,4
"168",5,5,5,4,3
"169",4,4,5,3,1
"170",6,6,5,4,6
"171",4,5,5,4,4
"172",4,5,5,3,1
"173",4,5,3,4,2
"174",3,6,5,NA,1
"175",4,5,4,4,3
"176",3,5,4,5,4
"177",1,2,1,1,1
"178",1,2,4,2,1
"179",2,2,3,3,3
"180",6,4,5,3,6
"181",1,2,2,4,3
"182",3,3,3,3,3
"183",1,2,1,2,1
"184",1,2,6,3,4
"185",2,6,2,1,2
"186",2,3,3,4,2
"187",1,1,3,3,3
"188",1,5,1,2,1
"189",4,4,5,2,6
"190",1,1,1,NA,1
"191",3,4,4,2,3
"192",2,2,1,2,2
"193",5,4,4,4,5
"194",4,NA,5,5,4
"195",3,4,2,NA,1
"196",1,1,1,1,1
"197",1,2,2,5,3
"198",3,4,3,4,3
"199",3,2,3,5,3
"200",3,5,5,4,4
"201",3,4,3,4,5
"202",1,5,5,2,1
"203",2,3,2,2,1
"204",5,5,5,4,5
"205",1,3,3,2,2
"206",2,2,2,2,2
"207",2,4,4,2,6
"208",2,3,1,3,2
"209",3,3,2,2,1
"210",1,1,2,4,5
"211",5,4,3,6,4
"212",2,2,6,6,5
"213",2,3,4,4,2
"214",3,4,4,4,5
"215",4,4,3,4,2
"216",1,4,1,2,1
"217",6,4,3,4,1
"218",5,6,6,4,6
"219",2,2,2,2,2
"220",2,2,1,1,1
"221",5,6,6,5,4
"222",4,3,1,3,2
"223",NA,2,1,3,4
"224",4,5,4,3,5
"225",4,4,NA,4,2
"226",4,2,1,1,2
"227",1,1,2,2,2
"228",5,6,4,4,4
"229",5,4,4,4,5
"230",5,6,6,5,6
"231",2,1,1,4,3
"232",4,4,4,4,5
"233",5,4,1,2,3
"234",1,1,1,1,1
"235",1,1,1,1,1
"236",4,NA,1,1,NA
"237",3,4,4,3,3
"238",4,6,4,4,5
"239",4,5,4,5,2
"240",4,5,3,4,6
"241",3,4,2,2,1
"242",5,6,6,6,5
"243",5,4,1,1,5
"244",4,4,4,3,2
"245",6,6,6,6,6
"246",2,4,1,5,1
"247",5,5,5,2,1
"248",3,4,2,5,2
"249",5,4,5,5,2
"250",2,3,2,2,2
"251",1,4,2,2,1
"252",3,4,2,5,6
"253",3,5,4,4,5
"254",4,5,4,5,1
"255",4,5,4,5,2
"256",6,6,6,3,1
"257",5,5,5,4,4
"258",1,1,1,1,2
"259",6,6,1,1,1
"260",2,NA,3,6,5
"261",1,4,3,4,1
"262",3,4,4,3,5
"263",2,2,3,4,4
"264",5,6,5,4,5
"265",4,4,5,4,2
"266",5,4,4,1,1
"267",1,2,3,3,2
"268",2,4,4,5,4
"269",2,2,2,5,1
"270",5,5,6,6,2
"271",4,4,4,3,1
"272",2,2,2,3,1
"273",2,1,1,2,2
"274",6,6,6,6,2
"275",3,3,3,4,4
"276",2,2,2,3,3
"277",1,2,4,1,2
"278",2,2,2,4,4
"279",1,2,2,2,2
"280",2,4,4,3,3
"281",2,3,2,1,1
"282",1,1,1,6,1
"283",1,1,1,1,1
"284",2,6,4,5,2
"285",2,5,4,2,4
"286",2,3,3,4,2
"287",4,2,3,4,1
"288",2,2,2,2,1
"289",1,1,1,1,1
"290",5,5,5,6,5
"291",1,1,1,1,1
"292",2,4,2,4,2
"293",2,4,2,3,5
"294",5,4,3,2,2
"295",4,5,5,5,6
"296",1,2,2,1,1
"297",2,4,1,4,2
"298",4,4,3,3,1
"299",4,5,4,2,2
"300",3,4,4,4,4
"301",3,3,2,2,3
"302",4,4,4,4,4
"303",3,4,5,5,2
"304",3,4,5,4,4
"305",4,5,4,1,5
"306",1,2,3,4,2
"307",2,3,4,3,2
"308",6,6,6,3,2
"309",3,3,3,4,4
"310",2,1,2,4,3
"311",2,4,3,NA,1
"312",5,4,4,4,3
"313",4,4,5,4,5
"314",4,5,4,3,3
"315",6,4,5,3,6
"316",4,3,3,2,4
"317",1,2,3,2,3
"318",5,5,6,4,4
"319",1,2,1,2,1
"320",3,4,NA,1,2
"321",6,6,1,1,1
"322",1,3,3,5,6
"323",3,4,4,2,2
"324",4,1,2,6,6
"325",3,4,4,4,3
"326",2,2,2,2,2
"327",4,5,1,4,1
"328",4,4,3,4,3
"329",2,6,5,6,5
"330",2,4,2,3,1
"331",2,4,5,5,4
"332",2,3,3,2,4
"333",2,4,1,1,1
"334",3,4,2,4,2
"335",2,3,4,3,4
"336",6,5,4,5,3
"337",4,5,5,2,2
"338",2,2,3,5,2
"339",1,2,2,4,2
"340",2,2,1,1,1
"341",4,4,4,6,6
"342",3,3,2,3,1
"343",4,5,5,6,6
"344",1,1,2,4,2
"345",2,1,4,1,1
"346",5,5,6,6,5
"347",4,4,3,2,2
"348",6,6,6,4,3
"349",1,5,6,4,6
"350",4,4,2,2,2
"351",5,5,2,4,1
"352",5,5,5,6,5
"353",2,4,2,5,3
"354",1,1,1,1,1
"355",4,4,4,2,1
"356",5,6,6,6,6
"357",6,6,6,6,6
"358",3,3,4,5,3
"359",4,5,2,2,1
"360",6,6,6,6,4
"361",2,2,3,6,2
"362",1,3,3,2,2
"363",2,2,4,2,3
"364",2,2,1,2,2
"365",4,4,5,5,3
"366",3,3,4,2,3
"367",5,4,5,1,2
"368",1,2,3,1,2
"369",1,3,1,4,1
"370",4,4,1,2,2
"371",3,4,2,2,2
"372",3,4,1,4,1
"373",5,6,4,2,5
"374",1,2,2,2,4
"375",3,4,4,3,4
"376",5,4,2,5,1
"377",3,3,2,2,2
"378",3,3,4,1,2
"379",1,1,3,2,1
"380",NA,4,4,2,1
"381",4,3,6,6,4
"382",3,2,3,1,3
"383",2,3,3,2,2
"384",3,2,4,4,5
"385",2,2,5,6,1
"386",1,1,1,1,2
"387",3,2,4,4,2
"388",2,3,2,1,1
"389",2,3,3,3,3
"390",5,4,5,5,5
"391",2,3,2,5,2
"392",2,4,1,6,1
"393",2,2,1,1,1
"394",2,2,2,5,3
"395",2,2,4,2,5
"396",1,1,2,2,1
"397",1,1,1,1,1
"398",4,5,6,4,4
"399",2,4,2,5,4
"400",4,5,3,6,2
"401",2,2,3,2,1
"402",5,6,4,5,5
"403",4,5,2,5,3
"404",1,4,2,1,1
"405",2,3,1,1,2
"406",1,1,1,2,2
"407",2,3,4,2,3
"408",1,1,3,4,1
"409",2,2,5,4,4
"410",4,4,4,3,4
"411",1,1,1,2,2
"412",3,4,1,3,2
"413",2,3,5,2,2
"414",2,2,1,2,4
"415",3,4,4,4,4
"416",1,2,3,NA,2
"417",2,2,4,4,3
"418",3,5,4,3,1
"419",4,6,2,2,2
"420",5,4,6,4,3
"421",1,1,1,1,1
"422",3,2,3,2,5
"423",1,2,2,4,2
"424",2,2,3,3,3
"425",2,1,1,2,4
"426",1,2,3,2,1
"427",NA,5,3,4,3
"428",4,4,6,4,5
"429",1,5,4,4,2
"430",3,5,2,5,6
"431",2,2,2,2,3
"432",6,6,6,3,2
"433",1,1,2,4,6
"434",3,5,2,2,2
"435",1,4,1,1,1
"436",NA,2,1,2,2
"437",3,5,4,4,4
"438",6,6,6,5,4
"439",6,6,1,1,2
"440",2,4,5,5,4
"441",1,1,2,2,2
"442",3,4,5,5,5
"443",2,4,1,2,1
"444",5,5,5,4,5
"445",3,4,NA,4,3
"446",2,3,3,3,3
"447",1,1,5,6,1
"448",3,3,2,2,3
"449",3,4,6,6,5
"450",2,4,2,3,3
"451",6,6,6,5,1
"452",4,4,5,2,1
"453",4,4,3,2,1
"454",5,4,6,4,4
"455",2,2,5,2,5
"456",6,6,6,6,6
"457",2,5,1,1,1
"458",6,6,2,3,4
"459",1,2,1,5,2
"460",1,2,2,2,4
"461",4,4,5,3,5
"462",1,2,4,3,2
"463",1,1,2,3,3
"464",2,4,4,4,3
"465",3,4,3,3,2
"466",4,3,1,3,4
"467",4,4,5,6,2
"468",1,1,1,1,1
"469",4,4,3,2,5
"470",4,5,4,5,NA
"471",1,2,4,1,1
"472",4,4,4,5,6
"473",2,2,3,2,1
"474",4,5,4,3,4
"475",3,4,5,5,2
"476",4,4,5,4,4
"477",2,4,2,2,2
"478",3,4,3,1,4
"479",3,3,3,2,3
"480",1,1,2,2,1
"481",5,6,6,4,5
"482",2,3,2,2,2
"483",2,2,5,4,2
"484",5,5,2,3,3
"485",4,5,4,3,5
"486",2,2,2,2,1
"487",2,3,4,5,2
"488",4,4,4,3,2
"489",1,4,4,4,4
"490",2,2,5,2,3
"491",1,1,1,2,1
"492",1,1,1,1,2
"493",5,5,6,6,5
"494",4,4,6,5,2
"495",2,2,2,4,2
"496",NA,3,4,NA,NA
"497",4,3,4,4,6
"498",1,1,1,1,1
"499",2,2,3,2,1
"500",3,5,4,4,4
